Ablation,Dataset,OA,AA,Kappa,Train Time(s),FLOPs(M),Params(K)
full_model,Botswana,99.6721 ± 0.293,0.9974 ± 0.0022,0.9965 ± 0.0032,21.212 ± 5.3248,6.2,6.19
ow_BN,Botswana,99.6721 ± 0.198,0.9975 ± 0.0015,0.9965 ± 0.0022,32.556 ± 15.3975,6.27,6.24
wo_Conv2,Botswana,98.0328 ± 1.6765,0.9802 ± 0.0179,0.9787 ± 0.0182,22.837 ± 7.5767,1.02,2.21
wo_Dropout,Botswana,99.6312 ± 0.3024,0.9966 ± 0.0033,0.996 ± 0.0033,24.466 ± 9.0802,6.2,6.19
wo_FC64,Botswana,99.4262 ± 0.3456,0.9942 ± 0.0034,0.9938 ± 0.0038,28.015 ± 8.6759,6.2,4.43
full_model,Indian_pines,96.5085 ± 1.9788,0.9679 ± 0.0215,0.9602 ± 0.0226,100.178 ± 24.1558,6.2,6.32
ow_BN,Indian_pines,87.9194 ± 3.4964,0.7717 ± 0.0444,0.8618 ± 0.04,90.536 ± 21.1659,6.27,6.37
wo_Conv2,Indian_pines,77.4187 ± 3.8889,0.7312 ± 0.0555,0.7402 ± 0.0459,80.515 ± 20.5387,1.02,2.34
wo_Dropout,Indian_pines,96.5344 ± 1.3908,0.9688 ± 0.0153,0.9605 ± 0.0158,82.653 ± 15.759,6.2,6.32
wo_FC64,Indian_pines,95.9753 ± 1.9952,0.9628 ± 0.0232,0.9541 ± 0.0228,99.705 ± 25.8158,6.2,4.47
full_model,PaviaU,99.1164 ± 0.833,0.9863 ± 0.0155,0.9883 ± 0.011,190.289 ± 44.8841,6.2,5.87
ow_BN,PaviaU,98.744 ± 1.6589,0.9836 ± 0.0182,0.9834 ± 0.0219,274.767 ± 52.0902,6.27,5.92
wo_Conv2,PaviaU,97.0313 ± 1.0816,0.9562 ± 0.0178,0.9607 ± 0.0144,168.513 ± 37.0172,1.02,1.89
wo_Dropout,PaviaU,99.7553 ± 0.1316,0.9959 ± 0.003,0.9968 ± 0.0018,194.53 ± 72.9839,6.2,5.87
wo_FC64,PaviaU,99.5091 ± 0.3752,0.9919 ± 0.0052,0.9935 ± 0.005,208.966 ± 66.8485,6.2,4.35
full_model,Salina,99.3978 ± 0.5052,0.997 ± 0.0022,0.9933 ± 0.0056,309.569 ± 99.7872,6.2,6.32
ow_BN,Salina,97.984 ± 1.6379,0.992 ± 0.0051,0.9776 ± 0.0181,324.582 ± 73.3589,6.27,6.37
wo_Conv2,Salina,96.3411 ± 1.3037,0.9813 ± 0.0064,0.9592 ± 0.0145,272.508 ± 102.6449,1.02,2.34
wo_Dropout,Salina,99.6774 ± 0.248,0.9978 ± 0.0016,0.9964 ± 0.0028,268.291 ± 77.302,6.2,6.32
wo_FC64,Salina,99.5111 ± 0.294,0.9971 ± 0.0025,0.9946 ± 0.0033,295.115 ± 99.2011,6.2,4.47
full_model,chikusei,99.7113 ± 0.2974,0.9782 ± 0.0229,0.9967 ± 0.0034,263.323 ± 87.2965,6.2,6.52
ow_BN,chikusei,98.9278 ± 1.5869,0.9372 ± 0.0243,0.9877 ± 0.0183,244.533 ± 80.3137,6.27,6.57
wo_Conv2,chikusei,98.1141 ± 1.289,0.8892 ± 0.0441,0.9782 ± 0.0149,192.288 ± 55.9169,1.03,2.54
wo_Dropout,chikusei,99.6056 ± 0.292,0.9777 ± 0.0135,0.9954 ± 0.0034,189.218 ± 77.4391,6.2,6.52
wo_FC64,chikusei,99.5068 ± 0.2971,0.969 ± 0.0266,0.9943 ± 0.0034,263.052 ± 137.9414,6.2,4.52
full_model,whu_hanchuan,93.4139 ± 0.5687,0.8354 ± 0.0047,0.9228 ± 0.0067,322.622 ± 105.2394,6.2,6.26
ow_BN,whu_hanchuan,90.6838 ± 3.8574,0.8151 ± 0.0605,0.8902 ± 0.0444,246.597 ± 94.504,6.27,6.355
wo_Conv2,whu_hanchuan,89.3993 ± 0.9299,0.7991 ± 0.0095,0.8757 ± 0.0109,284.091 ± 28.6887,1.02,2.27
wo_Dropout,whu_hanchuan,93.3372 ± 1.1506,0.8562 ± 0.0513,0.9216 ± 0.0138,271.827 ± 96.8935,6.2,6.26
wo_FC64,whu_hanchuan,94.0112 ± 1.095,0.8419 ± 0.0246,0.9296 ± 0.0128,363.786 ± 89.6178,6.2,4.45
full_model,whu_honghu,98.6092 ± 0.2536,0.9642 ± 0.0084,0.9804 ± 0.0036,478.955 ± 118.6568,6.2,6.71
ow_BN,whu_honghu,97.1403 ± 1.2037,0.9248 ± 0.0349,0.9593 ± 0.0173,323.096 ± 77.8571,6.27,6.76
wo_Conv2,whu_honghu,94.9714 ± 1.2388,0.908 ± 0.0217,0.9284 ± 0.018,360.636 ± 38.8356,1.03,2.73
wo_Dropout,whu_honghu,99.0872 ± 0.3155,0.9777 ± 0.0143,0.9871 ± 0.0045,382.025 ± 78.5683,6.2,6.71
wo_FC64,whu_honghu,99.0426 ± 0.2412,0.9746 ± 0.0146,0.9865 ± 0.0034,515.775 ± 169.4992,6.2,4.57
full_model,whu_longkou,94.1422 ± 0.9985,0.8653 ± 0.04,0.9211 ± 0.0139,398.246 ± 156.207,6.2,5.87
ow_BN,whu_longkou,91.7482 ± 1.8872,0.8202 ± 0.043,0.8888 ± 0.0257,242.413 ± 117.065,6.27,5.92
wo_Conv2,whu_longkou,91.0936 ± 0.8256,0.7733 ± 0.0307,0.8789 ± 0.0117,341.69 ± 99.7927,1.02,1.89
wo_Dropout,whu_longkou,96.4777 ± 0.7632,0.9256 ± 0.0156,0.9529 ± 0.0101,413.942 ± 157.494,6.2,5.87
wo_FC64,whu_longkou,95.0077 ± 0.9866,0.894 ± 0.0436,0.933 ± 0.0138,443.77 ± 152.0856,6.2,4.35
